Frame,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_KNEE_X,LEFT_KNEE_Y,LEFT_KNEE_Z,LEFT_ANKLE_X,LEFT_ANKLE_Y,LEFT_ANKLE_Z,LEFT_HEEL_X,LEFT_HEEL_Y,LEFT_HEEL_Z,LEFT_FOOT_INDEX_X,LEFT_FOOT_INDEX_Y,LEFT_FOOT_INDEX_Z,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_KNEE_X,RIGHT_KNEE_Y,RIGHT_KNEE_Z,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,RIGHT_ANKLE_Z,RIGHT_HEEL_X,RIGHT_HEEL_Y,RIGHT_HEEL_Z,RIGHT_FOOT_INDEX_X,RIGHT_FOOT_INDEX_Y,RIGHT_FOOT_INDEX_Z
1,0.6317166686058044,1.1929304599761963,-0.025795763358473778,0.6196179389953613,1.640743613243103,0.2937680780887604,0.6238272786140442,2.0403554439544678,1.025790810585022,0.624118447303772,2.1060574054718018,1.0808601379394531,0.6105111837387085,2.2104005813598633,0.7124442458152771,0.3958606421947479,1.207427978515625,0.027914607897400856,0.4207366108894348,1.650490164756775,0.3312782049179077,0.4135143756866455,2.0653750896453857,0.9222449064254761,0.4086741507053375,2.137294292449951,0.9784430265426636,0.4434015154838562,2.2304937839508057,0.5527154803276062
2,0.6552070379257202,1.2364768981933594,-0.03387746214866638,0.6392852067947388,1.6891677379608154,0.25277766585350037,0.6449452638626099,2.12056040763855,0.964078426361084,0.6453414559364319,2.194183826446533,1.0146005153656006,0.6254792213439941,2.306126594543457,0.6011687517166138,0.40702399611473083,1.2614915370941162,0.03593585640192032,0.4282899796962738,1.7015297412872314,0.1579323261976242,0.41609591245651245,2.1654930114746094,0.7021661996841431,0.4135805070400238,2.2507171630859375,0.7497581243515015,0.4469749331474304,2.332014560699463,0.25551509857177734
3,0.6689848899841309,1.288831114768982,-0.05687699839472771,0.6472591757774353,1.7879180908203125,0.2625430226325989,0.6515331268310547,2.239142894744873,1.0846368074417114,0.6540125608444214,2.319114923477173,1.14039945602417,0.6282292604446411,2.4310476779937744,0.6353192329406738,0.4118611812591553,1.3050057888031006,0.059638846665620804,0.42830604314804077,1.792293667793274,0.2836472988128662,0.415508508682251,2.2717294692993164,0.9767264127731323,0.4126396179199219,2.360170841217041,1.0396358966827393,0.4473147392272949,2.4553396701812744,0.3837961256504059
4,0.6967498064041138,1.3290259838104248,-0.0672285258769989,0.6758321523666382,1.8459460735321045,0.24855315685272217,0.6912440657615662,2.3208703994750977,1.0816433429718018,0.6976385116577148,2.410778045654297,1.136391282081604,0.6644026041030884,2.5092556476593018,0.5947638750076294,0.422382652759552,1.3488545417785645,0.07064595818519592,0.43688535690307617,1.8471274375915527,0.24812063574790955,0.4274349808692932,2.344531536102295,0.9750849008560181,0.42483973503112793,2.439828634262085,1.028638482093811,0.4727837145328522,2.530036211013794,0.35802194476127625
5,0.6851135492324829,1.3649982213974,-0.0704323798418045,0.6665440797805786,1.9174152612686157,0.2497507780790329,0.6819888353347778,2.408113956451416,1.070778727531433,0.6861628890037537,2.5004007816314697,1.1253015995025635,0.6597132086753845,2.603541135787964,0.5681971311569214,0.3998745083808899,1.385555624961853,0.07426808029413223,0.40942811965942383,1.9298739433288574,0.4240804612636566,0.40098005533218384,2.4297425746917725,1.1835392713546753,0.39406925439834595,2.52377986907959,1.2534655332565308,0.4585275650024414,2.6243858337402344,0.6345717906951904
6,0.6809021234512329,1.3724533319473267,-0.06812793761491776,0.6603999733924866,1.9386417865753174,0.21786288917064667,0.6483086347579956,2.42952823638916,0.9751733541488647,0.6536087393760681,2.513827085494995,1.018546462059021,0.608224093914032,2.6149544715881348,0.43082696199417114,0.38558799028396606,1.380709171295166,0.07212378084659576,0.39051932096481323,1.9321116209030151,0.2021457701921463,0.36982858180999756,2.4372596740722656,0.8218836784362793,0.36059072613716125,2.529110908508301,0.8730236291885376,0.4184035658836365,2.6188321113586426,0.20493850111961365
7,0.6780275702476501,1.3544840812683105,-0.06749866157770157,0.6594291925430298,1.9204370975494385,0.06801341474056244,0.6442537307739258,2.427070140838623,0.6929172277450562,0.6468824148178101,2.510979652404785,0.723647952079773,0.6090661287307739,2.611159324645996,0.1548921912908554,0.3773069381713867,1.3706135749816895,0.07064031064510345,0.39112788438796997,1.9307008981704712,0.11980731785297394,0.3767377734184265,2.441622018814087,0.6166557669639587,0.3688634932041168,2.529402256011963,0.6552743315696716,0.4217926859855652,2.619532585144043,0.026671309024095535
8,0.679447591304779,1.37069571018219,-0.06965987384319305,0.6621061563491821,1.948425531387329,0.142487570643425,0.6485679149627686,2.4542672634124756,0.844454288482666,0.6525817513465881,2.5385382175445557,0.8860592842102051,0.6115537881851196,2.6400113105773926,0.3228614330291748,0.3803369700908661,1.3864549398422241,0.07350790500640869,0.39404165744781494,1.9531681537628174,0.1778079867362976,0.38078993558883667,2.4609761238098145,0.7457309365272522,0.37302371859550476,2.548980951309204,0.798630952835083,0.4226078391075134,2.64581298828125,0.22004437446594238
9,0.6764719486236572,1.368364691734314,-0.06754805892705917,0.6595408916473389,1.9504287242889404,0.1225111111998558,0.6438396573066711,2.462358236312866,0.7769463062286377,0.6460132002830505,2.5443692207336426,0.8130071759223938,0.6104492545127869,2.6492600440979004,0.2611343264579773,0.38159340620040894,1.3832345008850098,0.07143577188253403,0.3902745842933655,1.9573519229888916,0.20974881947040558,0.37707868218421936,2.4689743518829346,0.7547339797019958,0.36816179752349854,2.5525851249694824,0.7992514371871948,0.42264556884765625,2.6557390689849854,0.19923192262649536
10,0.6786822080612183,1.3815443515777588,-0.06706729531288147,0.6594840288162231,1.9678088426589966,0.13210704922676086,0.6441853046417236,2.483776330947876,0.8204900622367859,0.6462060213088989,2.565720796585083,0.8579936027526855,0.6105452179908752,2.663325309753418,0.2772161066532135,0.38234272599220276,1.3924386501312256,0.07110072672367096,0.39082103967666626,1.9733850955963135,0.22002911567687988,0.37851911783218384,2.489210367202759,0.7915285229682922,0.3694513440132141,2.5725507736206055,0.8403034210205078,0.4244254529476166,2.6730294227600098,0.2122005671262741
