Frame,Time_per_Frame,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_KNEE_X,LEFT_KNEE_Y,LEFT_KNEE_Z,LEFT_ANKLE_X,LEFT_ANKLE_Y,LEFT_ANKLE_Z,LEFT_HEEL_X,LEFT_HEEL_Y,LEFT_HEEL_Z,LEFT_FOOT_INDEX_X,LEFT_FOOT_INDEX_Y,LEFT_FOOT_INDEX_Z,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_KNEE_X,RIGHT_KNEE_Y,RIGHT_KNEE_Z,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,RIGHT_ANKLE_Z,RIGHT_HEEL_X,RIGHT_HEEL_Y,RIGHT_HEEL_Z,RIGHT_FOOT_INDEX_X,RIGHT_FOOT_INDEX_Y,RIGHT_FOOT_INDEX_Z
1,0.0546417236328125,0.4948497712612152,0.4092293977737427,-0.04563366621732712,0.49715322256088257,0.7334073781967163,-0.01864670030772686,0.5275764465332031,0.9912168979644775,0.03619524464011192,0.5471464991569519,1.0810052156448364,0.034757908433675766,0.5201362371444702,0.9898332357406616,-0.052119236439466476,0.5961486101150513,0.42539456486701965,0.0453399233520031,0.5854078531265259,0.7341492176055908,0.14794552326202393,0.5954585075378418,0.9850987195968628,0.21024779975414276,0.599837064743042,1.0483051538467407,0.21522510051727295,0.5776396989822388,1.034338355064392,0.1509099006652832
2,0.03270149230957031,0.4986785054206848,0.40920597314834595,-0.04236428067088127,0.5072447061538696,0.7337313890457153,0.005325845908373594,0.5300146341323853,0.9716520309448242,0.07238845527172089,0.5450893044471741,1.0543102025985718,0.07251529395580292,0.5265751481056213,1.026265025138855,-0.008522940799593925,0.5869745016098022,0.4249168336391449,0.042256537824869156,0.5816107392311096,0.7344199419021606,0.12354984134435654,0.5885944366455078,0.9668392539024353,0.1998693197965622,0.589538037776947,0.9794397950172424,0.2057635337114334,0.5776354670524597,0.9842672348022461,0.13264459371566772
3,0.03286576271057129,0.5031085014343262,0.4092058837413788,-0.042323850095272064,0.5087636709213257,0.7326886057853699,0.001563345780596137,0.529682993888855,0.9664250016212463,0.06367777287960052,0.5307567119598389,1.037434458732605,0.06310196220874786,0.5206295847892761,1.0263667106628418,-0.020215559750795364,0.5718066692352295,0.42133551836013794,0.042237456887960434,0.576756477355957,0.7335136532783508,0.11159853637218475,0.5847092866897583,0.9641374349594116,0.17302484810352325,0.5864039659500122,0.9720220565795898,0.17863993346691132,0.5768844485282898,0.9851589202880859,0.10396547615528107
4,0.03287506103515625,0.5312156677246094,0.4116535484790802,-0.01655835472047329,0.5332223176956177,0.7310495972633362,-0.0013472862774506211,0.5296717286109924,0.9678037166595459,0.07349485903978348,0.5314668416976929,0.9931504130363464,0.07293172180652618,0.5437042713165283,1.0381503105163574,-0.04542235657572746,0.5219175815582275,0.41944703459739685,0.016772452741861343,0.5364701747894287,0.7310489416122437,0.011417271569371223,0.5413774251937866,0.9657123684883118,0.10393508523702621,0.542844295501709,0.9736714959144592,0.10846924781799316,0.5486359596252441,1.0369659662246704,-0.034927792847156525
5,0.03244352340698242,0.5444133877754211,0.4131779670715332,-0.01776771806180477,0.5371869802474976,0.7309646606445312,-0.02223316580057144,0.5288568735122681,0.9679166674613953,0.06727655977010727,0.5283352732658386,0.9856375455856323,0.06657204777002335,0.5481438040733337,1.046449065208435,-0.08174373209476471,0.5022885799407959,0.4181149899959564,0.017959898337721825,0.5148276090621948,0.7290684580802917,-0.017447004094719887,0.5251135230064392,0.9654741883277893,0.08774582296609879,0.5292723774909973,0.9770898818969727,0.09194231033325195,0.521925151348114,1.0585684776306152,-0.06497339904308319
6,0.03325676918029785,0.5508502721786499,0.4239373207092285,0.0452805832028389,0.5521887540817261,0.7308498024940491,0.010016536340117455,0.5298629999160767,0.9663390517234802,0.15280362963676453,0.5198243260383606,0.9823279976844788,0.1598774939775467,0.5776642560958862,1.0143698453903198,0.03133819252252579,0.4848054051399231,0.42030033469200134,-0.04517635330557823,0.4979850649833679,0.7335478067398071,-0.09110306203365326,0.49670344591140747,0.9691625237464905,0.020183760672807693,0.48639973998069763,0.9891093373298645,0.024072838947176933,0.5164130330085754,1.090182900428772,-0.15310905873775482
7,0.032500267028808594,0.5425794720649719,0.42998674511909485,0.054397303611040115,0.5427817702293396,0.7323934435844421,0.005834918934851885,0.5110707879066467,0.9619020819664001,0.19853854179382324,0.49339962005615234,0.9706535935401917,0.21252486109733582,0.5556991696357727,1.026479959487915,0.0951460599899292,0.4927913248538971,0.424716591835022,-0.05417665094137192,0.498028427362442,0.7397948503494263,-0.09904816001653671,0.4855078160762787,0.9696634411811829,0.043507613241672516,0.47894492745399475,0.9945953488349915,0.05170750617980957,0.5170237421989441,1.090348482131958,-0.11660182476043701
8,0.032547950744628906,0.5359970927238464,0.4293791651725769,0.04353662207722664,0.5209820866584778,0.7286490201950073,0.05175703763961792,0.4916957914829254,0.9632281064987183,0.1649537980556488,0.47064170241355896,0.980423092842102,0.16909629106521606,0.5187974572181702,1.0255030393600464,0.04665074497461319,0.4933294355869293,0.4260503649711609,-0.043364547193050385,0.5031801462173462,0.7397227883338928,-0.0695972889661789,0.5094953775405884,0.9735962152481079,0.026719767600297928,0.506831705570221,1.0055452585220337,0.031132008880376816,0.5369600057601929,1.08424973487854,-0.12295858561992645
9,0.0326695442199707,0.5353471040725708,0.4365580677986145,0.07417196780443192,0.5303218364715576,0.7277672290802002,0.056155525147914886,0.49605900049209595,0.9628167748451233,0.17357799410820007,0.4874942898750305,0.9735475182533264,0.17718477547168732,0.560255765914917,1.0353995561599731,0.07146073877811432,0.48246073722839355,0.4328683614730835,-0.07399819791316986,0.4899052083492279,0.7395698428153992,-0.09749606996774673,0.4831176698207855,0.9810076951980591,-0.004028120078146458,0.47430968284606934,1.0064395666122437,-0.0011728386161848903,0.5201537013053894,1.0951342582702637,-0.16027185320854187
10,0.03243756294250488,0.533625602722168,0.4348945617675781,0.06362040340900421,0.5348913669586182,0.715079665184021,0.04158569127321243,0.5118155479431152,0.956641435623169,0.160170778632164,0.49369651079177856,0.9706579446792603,0.16513237357139587,0.575279951095581,1.0338634252548218,0.061208534985780716,0.4701771140098572,0.43245646357536316,-0.06347998231649399,0.484607994556427,0.7273576259613037,-0.09356176108121872,0.4779646396636963,0.969497561454773,0.0030101097654551268,0.48011288046836853,1.0022499561309814,0.006639802362769842,0.5075256824493408,1.0876009464263916,-0.14959946274757385
11,0.03346610069274902,0.5326430797576904,0.44053685665130615,0.07213887572288513,0.5369786024093628,0.7148755192756653,0.08897356688976288,0.5198200941085815,0.9504649043083191,0.1746601164340973,0.5010336637496948,0.9613202810287476,0.17592622339725494,0.5704180002212524,0.9999811053276062,0.09060155600309372,0.4667739272117615,0.43888920545578003,-0.07193972915410995,0.47631821036338806,0.7276929020881653,-0.07041158527135849,0.46050119400024414,0.9620208740234375,0.01427962351590395,0.4454893171787262,1.0015032291412354,0.018181918188929558,0.5016869902610779,1.083615779876709,-0.11794368922710419
12,0.03316164016723633,0.5311356782913208,0.44411563873291016,0.09027571976184845,0.5381295084953308,0.7107719779014587,0.10678799450397491,0.5257958173751831,0.9470187425613403,0.1715957224369049,0.5049802660942078,0.9678938388824463,0.17043964564800262,0.5829715132713318,0.9944750666618347,0.0847972184419632,0.46717435121536255,0.4404297471046448,-0.09014967828989029,0.4689466059207916,0.7243274450302124,-0.08328087627887726,0.4565460681915283,0.9531956315040588,-0.019588708877563477,0.44194602966308594,0.965367317199707,-0.017163723707199097,0.5063061714172363,1.0813171863555908,-0.14465874433517456
13,0.03200054168701172,0.5304679870605469,0.4514816999435425,0.08410166203975677,0.5459639430046082,0.7181873321533203,0.09645242989063263,0.5318885445594788,0.9519264101982117,0.16626960039138794,0.5091630220413208,0.9716344475746155,0.16467159986495972,0.6047784090042114,1.0453776121139526,0.07176978886127472,0.46715307235717773,0.4485134780406952,-0.08392932265996933,0.4673510193824768,0.7284548282623291,-0.07780541479587555,0.45731180906295776,0.9554906487464905,-0.0043052551336586475,0.4453955590724945,0.9662075042724609,-0.0014692239928990602,0.5087417960166931,1.0879405736923218,-0.13165098428726196
