Frame,Hip-Knee Angle,Knee-Ankle Angle
130,7.745398858761019,4.090433999193305
130,7.745398858761019,4.090433999193305
131,7.985382047976605,4.148802825647449
132,8.169633727433542,4.169274845099368
133,8.236371134964415,4.431607678076672
134,8.519962250020257,4.485733749073394
135,8.956408292748076,4.59171331991875
136,9.207592628199116,4.60543075244548
137,9.718719332592219,4.736001266744147
138,10.705737594416762,4.925195608221798
139,11.838205283784115,5.9320578992998305
140,15.101900534971408,7.859278650532159
141,19.534237605461907,9.843685838183909
142,23.61703257316669,13.08779384364934
143,29.671924903914473,14.550538755923702
144,33.90321530583408,15.060009546730193
145,44.686688177676864,15.655981904112373
146,51.313985097704894,16.896638406368975
147,58.37102670549052,17.61857771497183
148,66.31411679914781,17.77616618610125
149,69.79022201356005,18.383835508989797
150,69.98266195961958,17.654624532668954
151,69.36836444133817,17.09713047587438
152,65.60608200379019,16.651417244446087
153,60.930209699686955,16.54589218803291
154,50.276762773106725,16.292612570867053
155,40.73944796226926,15.462391441901795
156,32.682522520419965,15.64501204081821
157,25.205932286879147,13.47823951219417
158,19.354949573197523,9.770385371833418
159,14.840525607171223,7.710773082060571
160,11.33210141331751,5.90579786100926
161,9.661462736267104,4.658997806068094
162,9.082265875024135,3.5483827207270076
163,8.738835006529811,3.403965934778971
164,8.606694654471159,3.4955984441531838
165,8.41791908563408,3.8184519431014157
166,8.450942791138997,4.009299162259757
167,8.573291225563187,4.129143347191835
168,8.557995226117379,4.052016832708174
169,8.879145947084067,4.512953217876465
170,9.173038213658506,4.705588123538225
171,11.794883964950808,6.237568197941254
172,17.347783297635797,9.05629664277505
173,23.933176908180474,12.572789993371018
174,31.14789694794006,13.452452691272928
175,38.52184703866689,14.250089113161687
176,47.45625433884563,15.293658534668273
177,55.145086973418856,15.230639554179856
178,63.67134213198944,16.119328123043257
179,70.2814578577602,17.256975254716902
180,75.84462522293946,17.606556590725834
181,77.32882141282155,18.656374970226544
182,75.35388416918593,17.916444745190855
183,71.50078459405893,16.219920628287277
