time,input_0,Velocity_0,Position_0,input_1,Velocity_1,Position_1
19.775696754455566,0.0,1.6606544196422883,-12.564239501953125,0.0,1.7978711732594232,-11.295318603515625
19.783516883850098,0.0,1.282683201338191,-11.995697021484375,0.0,1.221879363745723,-10.7501220703125
19.790943384170532,0.0,0.8639141236394909,-11.58782958984375,0.0,0.996894266499068,-10.2996826171875
19.798399209976196,0.0,0.8337663078619533,-11.234893798828125,0.0,0.9944131574366308,-9.861602783203125
19.80559206008911,0.0,1.4382440582151437,-10.64849853515625,0.0,1.016602698862955,-9.444122314453125
19.812934398651123,0.0,1.4002315948434658,-10.01953125,0.0,1.2850306113915277,-8.9044189453125
19.820399284362793,0.0,1.947901310342554,-9.23675537109375,0.0,1.593577589325923,-8.20953369140625
19.827756643295288,0.0,1.4626572351219542,-8.5638427734375,0.0,1.48712396653381,-7.623138427734375
19.835022687911987,0.0,1.3741097296200715,-7.985687255859375,0.0,1.2421495566520486,-7.05596923828125
19.842427015304565,0.0,1.1749656173255913,-7.428131103515625,0.0,0.7411527795539001,-6.735992431640625
19.84945821762085,0.0,0.658122511592821,-7.12188720703125,0.0,0.2480206500498918,-6.5972900390625
19.856641054153442,0.0,0.971421047448676,-6.752471923828125,0.0,0.07467071518072278,-6.60003662109375
19.863786220550537,0.0,0.8631417028936378,-6.334991455078125,0.0,-0.07775365703762575,-6.602783203125
19.871058225631714,0.0,0.31652528841162214,-6.163330078125,0.0,0.0012673319666062174,-6.606903076171875
19.878124952316284,0.0,0.15785134186198896,-6.049346923828125,0.0,-0.010155136236471723,-6.598663330078125
19.885189056396484,0.0,0.00051157381195982,-6.057586669921875,0.0,-4.344902411196884e-05,-6.5972900390625
19.892547845840454,0.0,-0.025961391887607273,-6.054840087890625,0.0,0.025891165968130132,-6.56158447265625
19.89979577064514,0.0,-0.019196855763239765,-6.053466796875,0.0,-0.0556577482200469,-6.56158447265625
19.90732765197754,0.0,-0.004942178707294884,-6.0589599609375,0.0,-0.020969033261545922,-6.5643310546875
19.914506912231445,0.0,-0.016902989974522303,-6.05621337890625,0.0,0.040965068005226625,-6.554718017578125
19.921713829040527,0.0,0.038360204850791994,-6.057586669921875,0.0,0.04414836896820349,-6.557464599609375
19.929052352905273,0.0,-0.02303554841448256,-6.05621337890625,0.0,-0.009312505663240394,-6.56158447265625
19.93641757965088,0.0,0.029418843698638803,-6.05621337890625,0.0,-0.01567912733858819,-6.565704345703125
19.943681478500366,0.0,-0.0321407549285956,-6.06170654296875,0.0,0.017979685977518298,-6.560211181640625
19.95102095603943,0.0,0.004865220073087436,-6.05621337890625,0.0,0.020788496004301642,-6.5643310546875
19.958158493041992,0.0,0.012589432651831317,-6.05621337890625,0.0,-0.04423529263463739,-6.56707763671875
19.96438694000244,0.0,0.04009229693080815,-6.053466796875,0.0,-0.011559563925093623,-6.5643310546875
19.96943759918213,0.0,0.04072427754105157,-6.052093505859375,0.0,-0.00645690566460977,-6.565704345703125
