time,input_0,Velocity_0,Position_0,input_1,Velocity_1,Position_1
2.86102294921875e-06,-3.600032091140747,-1.7620057586809454,5.7220458984375e-06,-2.8000237941741943,-5.15303582240866,3.814697265625e-06
0.006907224655151367,-0.19214247167110443,-25.11137485374021,-0.0059680938720703125,-0.20320524275302887,-23.75748101350736,-0.0048828125
0.014478445053100586,0.407424658536911,-30.50463408986971,-0.040069580078125,0.2833222448825836,-25.613251722354846,-0.034557342529296875
0.021724700927734375,0.49082526564598083,-28.58636415011268,-0.07405853271484375,0.2885843813419342,-24.34755728334108,-0.0615692138671875
0.02781820297241211,0.5083256363868713,-22.790742052926397,-0.10155677795410156,0.35212427377700806,-21.149360139467063,-0.08569717407226562
0.03690600395202637,0.4263366758823395,-17.007186572191692,-0.1348590850830078,0.32713794708251953,-16.365772878919646,-0.11765289306640625
0.04227614402770996,0.2653779685497284,-12.998234143048602,-0.1484241485595703,0.17621557414531708,-14.300696184071999,-0.1304779052734375
0.04971933364868164,0.19799049198627472,-10.445697602147462,-0.16367530822753906,0.18114395439624786,-12.478813118186581,-0.14801025390625
0.05586552619934082,0.12063766270875931,-7.9682976573185655,-0.17325973510742188,0.12671656906604767,-10.027380741685423,-0.15998458862304688
0.06103968620300293,0.053751591593027115,-4.223188425663695,-0.17931365966796875,0.0791836753487587,-6.88268716990137,-0.16836929321289062
0.06986403465270996,-0.03432280942797661,-4.278860393447473,-0.1859302520751953,-0.0014401754597201943,-5.448417005763437,-0.17844390869140625
0.07593774795532227,-0.06361138075590134,-1.8030869326424512,-0.1899738311767578,-0.05298815295100212,-3.803114003717882,-0.18365478515625
0.08403706550598145,-0.14852583408355713,-0.4633635489059953,-0.19244956970214844,-0.10316136479377747,-3.6545283402428748,-0.1888885498046875
0.0902247428894043,-0.21270659565925598,-0.9047962471154593,-0.19277191162109375,-0.13278135657310486,-3.3201403773563047,-0.19226455688476562
0.09768080711364746,-0.21928058564662933,-1.6982075501437657,-0.1942577362060547,-0.14671671390533447,-3.228292528667595,-0.19656753540039062
0.1039423942565918,-0.23111163079738617,-2.2306398854362355,-0.19589805603027344,-0.17993442714214325,-4.199576506543916,-0.19940185546875
0.10942792892456055,-0.23010854423046112,-4.150100757543237,-0.197967529296875,-0.16546666622161865,-5.583801296491137,-0.20287704467773438
0.11701202392578125,-0.20075678825378418,-5.090377426012089,-0.20313453674316406,-0.1436183750629425,-6.560891256827075,-0.20944976806640625
0.12274408340454102,-0.18538139760494232,-5.985015918999173,-0.2079181671142578,-0.12736740708351135,-6.501342392286415,-0.21524810791015625
0.12858319282531738,-0.11799774318933487,-6.922364691520835,-0.21543121337890625,-0.07383324205875397,-7.757907098964465,-0.22333526611328125
0.13682103157043457,-0.1846390813589096,-7.370242889754104,-0.2228717803955078,-0.1390266716480255,-7.153405567414979,-0.23129653930664062
0.1428980827331543,-0.15022557973861694,-8.166604371897783,-0.22975540161132812,-0.1095891073346138,-7.9720322414046985,-0.23841094970703125
0.15132641792297363,-0.12026386708021164,-8.62748245809714,-0.24081039428710938,-0.09545616060495377,-8.201791554248025,-0.24901199340820312
0.15768671035766602,-0.10666107386350632,-8.873153076544495,-0.24946212768554688,-0.08881950378417969,-8.359924899902317,-0.2571067810058594
0.1652977466583252,-0.08191347122192383,-9.374097422658684,-0.2606048583984375,-0.06787948310375214,-9.055806146355147,-0.2675628662109375
0.1720142364501953,-0.07309885323047638,-9.165594379727176,-0.2703742980957031,-0.04969817399978638,-9.495570275313435,-0.2772216796875
0.1785745620727539,-0.04784514755010605,-8.607665793202074,-0.28048133850097656,-0.0006856726831756532,-8.584302546749083,-0.28830718994140625
0.18579387664794922,-0.07832715660333633,-8.186638250869256,-0.2896995544433594,-0.06989783048629761,-8.278047926334866,-0.2966194152832031
0.19138360023498535,-0.06379477679729462,-8.070378536048336,-0.2970142364501953,-0.03995088115334511,-7.946278891097142,-0.30389404296875
0.19964838027954102,-0.05015724524855614,-8.319553042252398,-0.3078632354736328,-0.029219698160886765,-7.651260230545754,-0.31459808349609375
0.20617198944091797,-0.03595244884490967,-8.194139626645955,-0.3164348602294922,-0.0386512465775013,-6.921486847046519,-0.3221282958984375
0.2135157585144043,-0.025896567851305008,-7.146965544556463,-0.3258514404296875,-0.023154491558670998,-7.111128967019163,-0.33080291748046875
0.2203369140625,-0.03608809784054756,-6.727749867226524,-0.3335437774658203,-0.02486184611916542,-7.377849876512779,-0.338226318359375
0.22580528259277344,-0.03469635173678398,-6.21771623553568,-0.3393592834472656,-0.0013770224759355187,-6.341188206707455,-0.3446388244628906
0.23419761657714844,-0.032627590000629425,-5.447963852259202,-0.34764862060546875,-0.011675496585667133,-5.644720856755347,-0.35309600830078125
0.2403566837310791,-0.04079103097319603,-5.143957772042853,-0.35291099548339844,-0.009221424348652363,-5.154327497149241,-0.3588714599609375
0.24810314178466797,-0.033845312893390656,-4.536226491881373,-0.359222412109375,-0.011367824859917164,-4.716880068667972,-0.36533355712890625
0.2548024654388428,-0.04126885533332825,-4.239429671959651,-0.3638458251953125,-0.015857774764299393,-4.035534188997226,-0.3701820373535156
0.26026368141174316,-0.03273773565888405,-4.025913852454451,-0.3675422668457031,-0.015462967567145824,-3.4805147730678994,-0.373779296875
0.26843953132629395,-0.02633347362279892,-3.5082983259758276,-0.3727130889892578,-0.018788356333971024,-3.5092817814321227,-0.3783531188964844
0.2741825580596924,-0.028524786233901978,-3.0584217582395903,-0.37580299377441406,-0.00699172867462039,-2.6113309610333064,-0.3815803527832031
