Time,Speed,Position_X,Position_Y
3.4623124599456787,70.75847129259613,295.5,271.5
3.6923627853393555,27.49205118277393,289.5,273.5
3.8867380619049072,35.82860053831708,283.0,276.0
4.15659761428833,25.201017322911277,276.5,274.0
4.287864685058594,49.663654159025114,270.0,274.5
4.40686559677124,59.420282669263095,263.0,275.5
4.7735021114349365,165.01920474538832,202.5,275.0
6.599827766418457,116.41018986650076,414.5,259.0
17.489094018936157,7.927661370598725,500.5,266.5
18.318161249160767,395.14008443360694,173.0,274.5
19.245964765548706,261.1988215483323,412.5,237.5
19.336212635040283,37.16544207797308,415.5,236.0
19.433835983276367,20.486902325490522,415.5,234.0
19.524878978729248,29.574844173056597,413.0,233.0
19.619556427001953,45.429642559994,410.5,236.5
19.70884680747986,12.52132629255119,411.0,235.5
19.802507162094116,35.81133105958894,412.5,232.5
19.892675399780273,72.30043053401594,416.0,238.0
20.082353115081787,23.57755073067295,420.0,240.0
20.174663305282593,5.416520092877418,420.0,240.5
20.541196823120117,0.0,420.0,240.5
20.641296863555908,14.128001909052573,421.0,241.5
20.733591318130493,12.113772099345251,420.0,242.0
20.822423696517944,85.91651940183812,413.5,238.0
23.470247268676758,44.62647142484063,531.0,250.5
