time,motor0_pos,motor0_vel,motor0_torque,motor1_pos,motor1_vel,motor1_torque,output_pos,output_vel,theta_ref,theta_ctrl,tau_out
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,4.967141530112327e-05,-1.3826430117118467e-05,0.02474453550274647,6.476885381006925e-05,0.00015230298564080253,0.04065831370974852,-2.34153374723336e-05,-2.3413695694918056e-05,0.0,0.00023473875816014433,0.9937657248984695
0.01,0.00386960160696271,1.2373035186102388,-0.7769324571491452,0.006051799617868782,2.0329699414917846,-1.2612732927957677,0.0006362901320910281,0.2274973941487344,0.0,-0.006378223190775748,-31.014395066857354
0.015,-0.10661785814411658,-37.609587410344396,23.60012537963153,-0.17310016021871708,-61.03080518305389,38.454444642575446,-0.019526990808087563,-6.854444419158266,0.0,0.19574276098121235,943.8361841886483
0.02,3.245238969754304,1142.396731668886,-717.2986900182126,5.290231848056238,1861.6914605968411,-1169.206756648289,0.5934151920076783,208.8475570488636,0.0,-5.948514446976639,-28692.06897396289
0.025,-98.6375438043462,-34722.537616919115,21801.00188514822,-160.78258589754938,-56598.64631167017,35535.70098682426,-18.0357059022253,-6348.916588033002,0.0,180.7935891429088,872040.908706943
0.030000000000000002,2997.9000450954413,1055327.5568146273,-662589.351588065,4886.579444129524,1720186.4028862016,-1080020.6904954528,548.151312324355,192961.56955323138,0.0,-5494.780375931003,-26503574.64520244
0.035,-91113.86482891031,-32074140.022969823,20137778.290698636,-148515.59224669743,-52280848.12176099,32824578.464984596,-16659.713925924298,-5864596.12304668,0.0,167000.36485470363,805511129.8015138
0.04,2769182.1786295646,974814774.5121278,-612038341.700834,4513766.936877055,1588948075.127377,-997622496.6862282,506331.11425352254,178240006.84860072,0.0,-5075566.194796103,-24481533664.52255
0.045,-84162495.2038888,-29627102310.529713,18601403153.799572,-137184867.1902397,-48292176759.184,30320287140.852066,-15388691.436271027,-5417167521.399908,0.0,154259376.59635615,744056126153.9309
0.049999999999999996,2557912466.313468,900443055379.4492,-565343992013.6783,4169397320.141533,1467722180283.419,-921510706983.3092,467701504.90724313,164641510462.0712,0.0,-4688335124.461467,-22613759680559.57
0.05499999999999999,-77741471058.84119,-27366756545304.47,17182243009439.105,-126718597825.93779,-44607813168882.05,28007056105386.273,-14214639275.755896,-5003874600529.11,0.0,142490438664.0638,687289720377570.8
0.05999999999999999,2362761197630.502,831745393926650.6,-522212102729916.3,3851300752137.593,1355744992100431.5,-851205727449761.1,432019071180.73895,152080486552517.7,0.0,-4330647142680.4033,-2.0888484109196624e+16
0.06499999999999999,-71810327242223.7,-2.527885974256917e+16,1.5871355101181168e+16,-117050833404824.42,-4.1204541380387624e+16,2.5870308814925304e+16,-13130159284604.377,-4622113109630050.0,0.0,131619390397285.86,6.348542040472467e+17
0.06999999999999999,2182498639222106.0,7.682888953164893e+17,-4.823708823119147e+17,3557472781932032.5,1.2523108993658775e+18,-7.86264538168421e+17,399058963688566.0,1.4047778306414349e+17,0.0,-4000248313426632.0,-1.929483529247659e+19
0.075,-6.633168923098266e+16,-2.3350255220279247e+19,1.4660478996217442e+19,-1.0812065344650173e+17,-3.806091600905517e+19,2.389658076383443e+19,-1.2128417717439024e+16,-4.2694774157519585e+18,0.0,1.2157772894078525e+17,5.864191598486977e+20
0.08,2.0159888841002378e+18,7.096736945905929e+20,-4.4556927517766956e+20,3.286061881083387e+18,1.1567681221826662e+21,-7.262779185396013e+20,3.686134875133079e+17,1.2976028668741694e+20,0.0,-3.695056660554517e+18,-1.7822771007106782e+22
0.085,-6.127103391959723e+19,-2.1568790064292887e+22,1.3541984476331034e+22,-9.987178528894347e+19,-3.5157127804797395e+22,2.207343469641959e+22,-1.1203102197028755e+19,-3.943745419305632e+21,0.0,1.1230217773979184e+20,5.416793790532414e+23
0.09000000000000001,1.8621826872085934e+21,6.555304337522588e+23,-4.1157537957271915e+23,3.0353577801500076e+21,1.068514607016182e+24,-6.708678687035324e+23,3.404907934426553e+20,1.1986046215943178e+23,0.0,-3.413149048493115e+21,-1.646301518290877e+25
0.09500000000000001,-5.659647207993799e+22,-1.99232385448837e+25,1.2508823456894285e+25,-9.225224949029895e+22,-3.2474878828160437e+25,2.0389382234737685e+25,-1.0348381937456265e+22,-3.642864551739261e+24,0.0,1.0373428780893248e+23,5.0035293827577145e+26
0.10000000000000002,1.7201108537297862e+24,6.055179342998305e+26,-3.801749862642177e+26,2.803780691579552e+24,9.86994232908724e+26,-6.196852276106748e+26,3.145136690502228e+23,1.1071592669705254e+26,0.0,-3.1527490637941137e+24,-1.5206999450568707e+28
0.10500000000000002,-5.227854741440372e+25,-1.8403231378911054e+28,1.1554485574047988e+28,-8.521403228547806e+25,-2.999726714762502e+28,1.8833811485698219e+28,-9.558871001986648e+24,-3.364938841476992e+27,0.0,9.582006942162426e+25,4.621794229619195e+29
0.11000000000000003,1.5888781317982393e+27,5.593210473234884e+29,-3.511702287222486e+29,2.58987135483113e+27,9.116933071372859e+29,-5.724074728172653e+29,2.9051842200864907e+26,1.0226905689786323e+29,0.0,-2.9122158212349493e+27,-1.4046809148889944e+31
0.11500000000000003,-4.829005093992161e+28,-1.6999190388788942e+31,1.067295716027558e+31,-7.871278303207222e+28,-2.770868033372597e+31,1.7396920171249197e+31,-8.829594364109967e+27,-3.108216966638114e+30,0.0,8.850965189905395e+28,4.269182864110232e+32
