Frame,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_Visibility,LEFT_KNEE_X,LEFT_KNEE_Y,LEFT_KNEE_Z,LEFT_KNEE_Visibility,LEFT_ANKLE_X,LEFT_ANKLE_Y,LEFT_ANKLE_Z,LEFT_ANKLE_Visibility,LEFT_HEEL_X,LEFT_HEEL_Y,LEFT_HEEL_Z,LEFT_HEEL_Visibility,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_Visibility,RIGHT_KNEE_X,RIGHT_KNEE_Y,RIGHT_KNEE_Z,RIGHT_KNEE_Visibility,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,RIGHT_ANKLE_Z,RIGHT_ANKLE_Visibility,RIGHT_HEEL_X,RIGHT_HEEL_Y,RIGHT_HEEL_Z,RIGHT_HEEL_Visibility
1,0.6667749881744385,1.4586161375045776,-0.06433995068073273,0.006726511754095554,0.6865977048873901,2.0488665103912354,0.12111915647983551,0.00033701449865475297,0.6970463991165161,2.571381092071533,0.8436385989189148,1.980904244192061e-06,0.7097352743148804,2.6516001224517822,0.885373592376709,1.7537176972837187e-06,0.3657168447971344,1.5089805126190186,0.06992517411708832,0.0033491929061710835,0.39151477813720703,2.0843827724456787,0.48299750685691833,0.0003125433868262917,0.4112951159477234,2.6047682762145996,1.1865538358688354,1.1779964097513584e-06,0.40619945526123047,2.6930594444274902,1.249083399772644,1.4013419331604382e-06
2,0.6659070253372192,1.4716017246246338,-0.06705286353826523,0.006255812011659145,0.6894162893295288,2.0717456340789795,0.18059319257736206,0.0003171024436596781,0.7080727815628052,2.606804609298706,1.0365467071533203,1.9369992969586747e-06,0.7224788069725037,2.699126720428467,1.0883716344833374,1.7704095398585196e-06,0.36136549711227417,1.5242522954940796,0.07320871204137802,0.003110826713964343,0.392655611038208,2.1161439418792725,0.4431513249874115,0.00028550869319587946,0.41892439126968384,2.6399567127227783,1.177285075187683,1.0836708952410845e-06,0.41726788878440857,2.736976146697998,1.2391235828399658,1.3241671013020095e-06
3,0.6594536304473877,1.4780901670455933,-0.06698961555957794,0.006028969772160053,0.6865150928497314,2.080239772796631,0.19345971941947937,0.00029437566990964115,0.7050892114639282,2.6184897422790527,1.0264561176300049,1.8123081417797948e-06,0.7190713882446289,2.7075700759887695,1.0752627849578857,1.6766108501542476e-06,0.3529415726661682,1.5262188911437988,0.0731896385550499,0.00298670819029212,0.3903152346611023,2.119396448135376,0.408441960811615,0.0002609343791846186,0.4155201315879822,2.645371198654175,1.1387150287628174,9.884299743134761e-07,0.41337862610816956,2.739701747894287,1.1992571353912354,1.2170307854830753e-06
4,0.6528199911117554,1.485026478767395,-0.06262790411710739,0.005690271034836769,0.6722468733787537,2.079474687576294,0.001999655971303582,0.00035566280712373555,0.6903037428855896,2.6203629970550537,0.5635822415351868,2.7800153930002125e-06,0.7011085748672485,2.705653190612793,0.5882101058959961,2.5096946956182364e-06,0.3491363525390625,1.5309580564498901,0.0688575878739357,0.002829064382240176,0.38273391127586365,2.120610237121582,0.2098410576581955,0.0002990409848280251,0.4084846079349518,2.6492807865142822,0.5940519571304321,1.2000175502180355e-06,0.40618473291397095,2.7385177612304688,0.6195567846298218,1.5821747183508705e-06
5,0.6532865166664124,1.490420937538147,-0.08854898065328598,0.005342873744666576,0.6728756427764893,2.097329616546631,0.14222928881645203,0.00032877939520403743,0.6914674043655396,2.6359434127807617,1.0199087858200073,2.6516067919146735e-06,0.7046797871589661,2.7260708808898926,1.073458194732666,2.4254345589724835e-06,0.3492613434791565,1.5328757762908936,0.09536296129226685,0.002704930491745472,0.3826359510421753,2.1316399574279785,0.36170250177383423,0.0002720760239753872,0.4076675474643707,2.660773277282715,1.1327931880950928,1.0943779216177063e-06,0.4056883752346039,2.753143072128296,1.1940995454788208,1.4775197314520483e-06
6,0.6535367369651794,1.4951324462890625,-0.10208861529827118,0.004937485326081514,0.6736143231391907,2.1012580394744873,0.10574828088283539,0.00031436485005542636,0.6907238364219666,2.64026141166687,0.8746609687805176,2.6441962290846277e-06,0.703210711479187,2.724177598953247,0.9186044931411743,2.3651443825656315e-06,0.3490831255912781,1.5398280620574951,0.10793562978506088,0.002508530393242836,0.3761897683143616,2.138951539993286,0.4343632757663727,0.0002645731146913022,0.40078145265579224,2.6690356731414795,1.125788688659668,1.1670553021758678e-06,0.39615923166275024,2.756408214569092,1.1855722665786743,1.6220424186030868e-06
7,0.649915337562561,1.4932175874710083,-0.10196734964847565,0.004951687064021826,0.6691176891326904,2.0988125801086426,0.13783617317676544,0.00032928885775618255,0.6811490654945374,2.6352696418762207,0.9414727091789246,3.1488511922361795e-06,0.6906566619873047,2.719367265701294,0.99017733335495,2.6254365366185084e-06,0.3448646366596222,1.5371053218841553,0.10714486986398697,0.002587138907983899,0.36941275000572205,2.1361823081970215,0.5902506709098816,0.00027943149325437844,0.3913394808769226,2.6647138595581055,1.4357181787490845,1.5759731013531564e-06,0.3856958746910095,2.7523186206817627,1.514175534248352,2.1429025309771532e-06
8,0.6486536860466003,1.4894849061965942,-0.10438426584005356,0.004742676392197609,0.6667598485946655,2.097008466720581,0.13234642148017883,0.0003442128945607692,0.6786175966262817,2.633331060409546,0.9124664068222046,4.366806479083607e-06,0.6878731846809387,2.717500925064087,0.9540714025497437,3.101318725384772e-06,0.3433240056037903,1.533089518547058,0.10919783264398575,0.002496162662282586,0.36721089482307434,2.1351912021636963,0.5570250153541565,0.0002962172729894519,0.39023175835609436,2.664135694503784,1.3302522897720337,2.074940539387171e-06,0.3848121166229248,2.745826244354248,1.3992092609405518,2.753160060819937e-06
9,0.6472753286361694,1.4932702779769897,-0.1065797358751297,0.004637620877474546,0.6603227257728577,2.105217456817627,0.13267721235752106,0.00033572016400285065,0.6681210398674011,2.6434621810913086,0.9145371317863464,4.22855737269856e-06,0.6769307851791382,2.725217580795288,0.9578374028205872,2.952595195893082e-06,0.3376997411251068,1.5332363843917847,0.11156807094812393,0.002479290124028921,0.35715532302856445,2.1344799995422363,0.5498884916305542,0.00029677286511287093,0.3740992248058319,2.6659727096557617,1.3077024221420288,2.0769668935827212e-06,0.3659198582172394,2.7477896213531494,1.3766380548477173,2.7374921955924947e-06
10,0.6466366052627563,1.4933160543441772,-0.11258214712142944,0.004765134304761887,0.6613796353340149,2.1034984588623047,0.10594018548727036,0.0003848242631647736,0.6699618101119995,2.6419448852539062,0.8322746157646179,6.652137471974129e-06,0.678859531879425,2.722744941711426,0.8683521151542664,4.040439762320602e-06,0.33818450570106506,1.5331352949142456,0.11731140315532684,0.002557366620749235,0.3586554229259491,2.132920503616333,0.604290246963501,0.00031889346428215504,0.37648171186447144,2.6640357971191406,1.4275339841842651,2.8113186090195086e-06,0.36899155378341675,2.7470881938934326,1.5019941329956055,3.907841346517671e-06
