time,Ref_0,Position_0,Ref_1,Position_1,Current_0,Current_1,Reduction_Ratio_0,Reduction_Ratio_1
10.034669876098633,-0.0172036674830652,-0.0190747380256652,0.0036132924703278,-0.0011376738548278,-0.5916938781738281,-1.434670329093933,33.0,33.0
10.097331523895264,-0.0155892512754991,-0.0167875885963439,0.0047735950329296,-0.0012152194976806,-1.157487154006958,-0.540172278881073,33.0,33.0
10.1603045463562,-0.0141266624652647,-0.0147070288658142,0.0053174180731882,-0.0006733834743499,-1.856229782104492,0.6080905199050903,33.0,33.0
10.223175764083862,-0.0136672678853252,-0.013321042060852,0.0061942179349537,-8.7738037109375e-05,-3.199636936187744,0.8165476322174072,33.0,33.0
10.28627347946167,-0.0130480960939165,-0.0132672786712646,0.006508662037754,0.0011193752288818,-1.5372596979141235,-0.3613650202751159,33.0,33.0
10.349470615386965,-0.0130348661402574,-0.0134403109550476,0.0057752931226874,0.0011209845542907,-0.9265090227127076,-0.3929232656955719,33.0,33.0
10.412582635879517,-0.0130123063271886,-0.0130678415298461,0.0055771786708964,0.0005517303943634,-2.1424527168273926,-0.542099118232727,33.0,33.0
10.475499629974363,-0.0128639883702597,-0.0124117732048034,0.0055097200153021,0.0004226267337799,-3.0573031902313232,-0.2640220522880554,33.0,33.0
10.538445234298706,-0.0127555593530452,-0.0122133493423461,0.0055555116230384,0.0002853274345397,-2.993018865585327,-0.0624050498008728,33.0,33.0
10.601633548736572,-0.0127207588320832,-0.0122849345207214,0.0055441995441754,0.0003397762775421,-2.145521879196167,0.1243289038538932,33.0,33.0
10.66458010673523,-0.0127293324884491,-0.0123599171638488,0.0055936572254445,0.0003093183040618,-2.3164799213409424,-0.2798076570034027,33.0,33.0
10.727540493011476,-0.0125399836280286,-0.0123831629753112,0.0052168270621179,0.000332236289978,-1.7515789270401,-0.5658777356147766,33.0,33.0
10.790600299835203,0.0072532013382229,-0.0121988654136657,-0.0105371933804227,-6.583333015441895e-05,17.266733169555664,-2.72304105758667,33.0,33.0
10.853920221328735,0.0072532013382229,0.0026760101318359,-0.0105371933804227,-0.014695405960083,2.547560453414917,-0.4945225417613983,23.35444545552195,26.092780449865487
10.916860342025757,0.0071479007561824,0.0112587213516235,-0.0105375142339715,-0.0169114768505096,-12.48439598083496,1.9047319889068604,33.0,33.0
10.979203701019289,0.0068962775505562,0.0105268359184265,-0.0105099618865935,-0.0161637067794799,-4.8434367179870605,0.6560665965080261,33.0,33.0
11.041203498840332,0.0063851357741078,0.0066021084785461,-0.0105674581617804,-0.0153204500675201,3.329551696777344,-2.3431522846221924,33.0,33.0
11.103200674057009,0.0060880938389063,0.0036677718162536,-0.0104873663939432,-0.0148000419139862,6.975892543792725,-3.4702725410461426,33.0,33.0
11.165679216384888,0.004682055171275,0.0043781399726867,-0.0101790997690184,-0.0152303278446197,1.1101317405700684,-0.694153904914856,33.0,33.0
11.227709770202637,0.0039911603164577,0.0054523944854736,-0.0098971846815509,-0.0152603983879089,-2.8869729042053223,-0.034184455871582,33.0,33.0
11.289613008499146,0.0027798434063882,0.0061371326446533,-0.0085221435917603,-0.0156820714473724,-6.360594272613525,1.491403341293335,33.0,33.0
11.35165810585022,0.002109706833744,0.0043529868125915,-0.0059939082583259,-0.013605922460556,-2.7034974098205566,0.5801690816879272,33.0,33.0
11.413730382919312,0.0012417728691478,0.0020510554313659,-0.0040010814385006,-0.0113753974437713,0.3903315961360931,1.615760087966919,33.0,33.0
11.47565460205078,-0.0003001265709053,0.0015801787376403,-0.0020912575031607,-0.009220153093338,-0.743765115737915,0.7174396514892578,33.0,33.0
11.537742376327516,-0.0023167870974375,0.0004348158836364,-0.0017779535498106,-0.007297545671463,-3.85040020942688,-0.112901896238327,33.0,33.0
11.599734544754028,-0.0044612148327237,-0.0010475516319274,-0.001516347884398,-0.0075838267803192,-4.610112190246582,1.188257932662964,33.0,33.0
11.662368774414062,-0.0082784506736686,-0.0025545954704284,-0.0018905062441724,-0.0068567395210266,-8.234644889831543,0.091418445110321,33.0,33.0
11.72536301612854,-0.0106607742852939,-0.0060155987739562,-0.002296669386946,-0.0072095692157745,-6.348618030548096,-0.3899507522583008,33.0,33.0
11.788427114486694,-0.0123046317767878,-0.0095238089561462,-0.0030661406007067,-0.0075111985206604,-2.694047689437866,-1.9915622472763064,33.0,33.0
11.85161519050598,-0.0196771786398838,-0.0115013718605041,-0.0095088594084743,-0.0078431665897369,-10.000633239746094,-0.4083168804645538,33.0,33.0
11.91476583480835,-0.0261747028157741,-0.0169304013252258,-0.0158315679240356,-0.0135287642478942,-14.22594165802002,-4.522615909576416,33.0,33.0
11.9775710105896,-0.0369907577151901,-0.0241603255271911,-0.0196543589468911,-0.0201541781425476,-15.919536590576172,-2.27786922454834,26.016413666824914,33.0
12.04066801071167,-0.0435701598005648,-0.0338502526283264,-0.0198972787447737,-0.0244443416595459,-13.681846618652344,-1.0989776849746704,26.029694073309226,33.0
12.103721380233765,-0.0516347365171316,-0.0410717725753784,-0.0165705571087166,-0.0248405635356903,-15.693050384521484,0.9549763798713684,33.0,33.0
12.166751861572266,-0.0563833698328123,-0.0466715097427368,-0.0138141502861692,-0.0217697620391845,-17.134803771972656,2.539329767227173,33.0,33.0
12.229613065719604,-0.0601211833316486,-0.0506743788719177,-0.010863844067249,-0.0186877846717834,-17.19818878173828,-0.2626703977584839,33.0,33.0
12.29272174835205,-0.0649542746108178,-0.0546056628227233,-0.0058628282250414,-0.0146562159061431,-17.923181533813477,-0.2126143127679824,33.0,33.0
